person_id,bank_account_number,bank,person_age,person_education,person_gender,person_marital_status,person_occupation
p000000,A000000,3862507,22,high school,female,single,student
p000001,A000001,1527806,31,bachelor's degree,male,married,white-collar worker
p000002,A000002,1047286,45,graduate degree or higher,female,married,business owner
p000003,A000003,4381267,62,associate degree,male,married,retired
p000004,A000004,2198345,29,associate degree,female,single,freelancer
p000005,A000005,2046713,37,graduate degree or higher,male,married,white-collar worker
p000006,A000006,2046713,58,bachelor's degree,female,married,unemployed
p000007,A000007,1683509,43,high school,male,married,blue-collar worker
p000008,A000008,4381267,26,bachelor's degree,female,single,white-collar worker
p000009,A000009,1527806,34,associate degree,male,married,freelancer
p000010,A000010,4027316,68,high school,female,married,retired
p000011,A000011,4381267,39,graduate degree or higher,male,married,business owner
p000012,A000012,5286314,55,bachelor's degree,female,married,blue-collar worker
p000013,A000013,3468205,23,high school,male,single,student
p000014,A000014,1398427,48,associate degree,female,married,freelancer
p000015,A000015,3581974,66,below high school,male,married,retired
p000016,A000016,2947806,21,high school,female,single,student
p000017,A000017,1265934,36,bachelor's degree,male,married,business owner
p000018,A000018,1047286,60,associate degree,female,married,unemployed
p000019,A000019,1398427,41,high school,male,married,blue-collar worker
p000020,A000020,1872056,21,high school,female,single,student
p000021,A000021,2046713,34,bachelor's degree,male,married,white-collar worker
p000022,A000022,3295718,58,associate degree,female,married,retired
p000023,A000023,3714628,45,associate degree,male,married,blue-collar worker
p000024,A000024,1047286,27,bachelor's degree,female,single,white-collar worker
p000025,A000025,3468205,19,below high school,male,single,student
p000026,A000026,1872056,62,high school,female,married,retired
p000027,A000027,4175902,52,graduate degree or higher,male,married,business owner
p000028,A000028,3862507,39,bachelor's degree,female,married,freelancer
p000029,A000029,4175902,23,high school,male,single,student
p000030,A000030,3468205,65,high school,female,married,retired
p000031,A000031,2947806,31,associate degree,male,single,other
p000032,A000032,2046713,47,bachelor's degree,female,married,blue-collar worker
p000033,A000033,3071954,36,graduate degree or higher,male,married,business owner
p000034,A000034,3581974,29,bachelor's degree,female,single,freelancer
p000035,A000035,2198345,42,associate degree,male,married,blue-collar worker
p000036,A000036,4693725,30,high school,female,single,white-collar worker
p000037,A000037,5039472,70,associate degree,male,married,retired
p000038,A000038,1047286,50,graduate degree or higher,female,married,white-collar worker
p000039,A000039,4528071,24,bachelor's degree,male,single,freelancer
p000040,A000040,4693725,23,associate degree,female,single,student
p000041,A000041,1739462,32,bachelor's degree,male,married,white-collar worker
p000042,A000042,4175902,46,associate degree,female,married,blue-collar worker
p000043,A000043,2947806,50,bachelor's degree,male,married,freelancer
p000044,A000044,2486137,28,graduate degree or higher,female,single,business owner
p000045,A000045,2198345,67,high school,male,married,retired
p000046,A000046,1683509,19,high school,female,single,student
p000047,A000047,1872056,39,bachelor's degree,male,married,white-collar worker
p000048,A000048,4528071,56,associate degree,female,married,blue-collar worker
p000049,A000049,2486137,42,bachelor's degree,male,married,business owner
p000050,A000050,1527806,63,high school,female,married,retired
p000051,A000051,1398427,21,high school,male,single,student
p000052,A000052,2793615,34,bachelor's degree,female,married,white-collar worker
p000053,A000053,1527806,60,associate degree,male,married,blue-collar worker
p000054,A000054,2657408,38,graduate degree or higher,female,married,business owner
p000055,A000055,5039472,70,high school,male,married,retired
p000056,A000056,2657408,24,high school,female,single,student
p000057,A000057,3714628,29,graduate degree or higher,male,married,white-collar worker
p000058,A000058,2198345,52,associate degree,female,married,blue-collar worker
p000059,A000059,4693725,45,bachelor's degree,male,married,business owner
p000060,A000060,1265934,22,high school,female,single,student
p000061,A000061,4381267,31,bachelor's degree,male,married,white-collar worker
p000062,A000062,3071954,45,associate degree,female,married,blue-collar worker
p000063,A000063,3468205,38,graduate degree or higher,male,married,business owner
p000064,A000064,1527806,67,below high school,male,married,retired
p000065,A000065,5472906,29,associate degree,female,single,freelancer
p000066,A000066,2793615,54,high school,male,married,blue-collar worker
p000067,A000067,1398427,60,bachelor's degree,female,married,white-collar worker
p000068,A000068,3468205,19,high school,female,single,student
p000069,A000069,2367901,42,associate degree,male,married,freelancer
p000070,A000070,4871609,50,high school,female,married,unemployed
p000071,A000071,3862507,63,below high school,male,married,retired
p000072,A000072,3714628,27,high school,female,single,blue-collar worker
p000073,A000073,5286314,55,bachelor's degree,male,married,white-collar worker
p000074,A000074,5039472,70,below high school,female,married,retired
p000075,A000075,2657408,24,associate degree,male,single,student
p000076,A000076,3581974,36,bachelor's degree,male,married,business owner
p000077,A000077,1872056,39,graduate degree or higher,female,married,white-collar worker
